question,positive_chunks,negative_chunks
Căn cứ vào đâu để Kho bạc Nhà nước kiểm soát chi cho công tác mộ và nghĩa trang liệt sỹ?,47_2009_TTLT_BTC_BLĐTBXH_art14;47_2009_TTLT_BTC_BLĐTBXH_art4,47_2009_TTLT_BTC_BLĐTBXH_art3;47_2009_TTLT_BTC_BLĐTBXH_art5_6;47_2009_TTLT_BTC_BLĐTBXH_art12_13
Mẫu biểu nào được sử dụng để lập danh sách chi trả trợ cấp ưu đãi giáo dục?,47_2009_TTLT_BTC_BLĐTBXH_art14,47_2009_TTLT_BTC_BLĐTBXH_art4;47_2009_TTLT_BTC_BLĐTBXH_art3;47_2009_TTLT_BTC_BLĐTBXH_art12_13
Khi nào cơ quan LĐTBXH phải gửi danh sách chi trả trợ cấp hàng tháng cho Kho bạc Nhà nước?,47_2009_TTLT_BTC_BLĐTBXH_art14,47_2009_TTLT_BTC_BLĐTBXH_art7_8;47_2009_TTLT_BTC_BLĐTBXH_art12_13;47_2009_TTLT_BTC_BLĐTBXH_art9_11
Thông tư 47/2009/TTLT-BTC-BLĐTBXH có hiệu lực từ khi nào và thay thế cho văn bản nào?,47_2009_TTLT_BTC_BLĐTBXH_art15_end,47_2009_TTLT_BTC_BLĐTBXH_preamble;47_2009_TTLT_BTC_BLĐTBXH_art1_2;47_2009_TTLT_BTC_BLĐTBXH_art3
Trách nhiệm của Sở Lao động – Thương binh và Xã hội và Kho bạc Nhà nước cấp tỉnh trong việc thực hiện Thông tư này là gì?,47_2009_TTLT_BTC_BLĐTBXH_art15_end,47_2009_TTLT_BTC_BLĐTBXH_art1_2;47_2009_TTLT_BTC_BLĐTBXH_art7_8;47_2009_TTLT_BTC_BLĐTBXH_art14
Quy trình tài chính đầy đủ để thực hiện chi trả trợ cấp cho người có công bao gồm những bước chính nào?,47_2009_TTLT_BTC_BLĐTBXH_art7_8;47_2009_TTLT_BTC_BLĐTBXH_art9_11;47_2009_TTLT_BTC_BLĐTBXH_art14,47_2009_TTLT_BTC_BLĐTBXH_art3;47_2009_TTLT_BTC_BLĐTBXH_art4;47_2009_TTLT_BTC_BLĐTBXH_preamble
Kinh phí cho chính sách người có công được quản lý và sử dụng như thế nào?,47_2009_TTLT_BTC_BLĐTBXH_art1_2;47_2009_TTLT_BTC_BLĐTBXH_art12_13,47_2009_TTLT_BTC_BLĐTBXH_art3;47_2009_TTLT_BTC_BLĐTBXH_art4;47_2009_TTLT_BTC_BLĐTBXH_art15_end
Các khoản chi cho người có công bao gồm những loại chính nào?,47_2009_TTLT_BTC_BLĐTBXH_art3;47_2009_TTLT_BTC_BLĐTBXH_art4,47_2009_TTLT_BTC_BLĐTBXH_art1_2;47_2009_TTLT_BTC_BLĐTBXH_art7_8;47_2009_TTLT_BTC_BLĐTBXH_art14
Thông tư này hướng dẫn về những nội dung gì?,47_2009_TTLT_BTC_BLĐTBXH_preamble,47_2009_TTLT_BTC_BLĐTBXH_art3;47_2009_TTLT_BTC_BLĐTBXH_art12_13;47_2009_TTLT_BTC_BLĐTBXH_art15_end
Cơ sở pháp lý để ban hành Thông tư liên tịch số 47/2009 là gì?,47_2009_TTLT_BTC_BLĐTBXH_preamble,47_2009_TTLT_BTC_BLĐTBXH_art1_2;47_2009_TTLT_BTC_BLĐTBXH_art15_end;47_2009_TTLT_BTC_BLĐTBXH_art7_8
"Chi phí quản lý có được dùng để tổ chức tập huấn, bồi dưỡng nghiệp vụ không?",47_2009_TTLT_BTC_BLĐTBXH_art5_6,47_2009_TTLT_BTC_BLĐTBXH_art4;47_2009_TTLT_BTC_BLĐTBXH_art7_8;47_2009_TTLT_BTC_BLĐTBXH_art12_13
"Thủ tục điều chỉnh dự toán kinh phí giữa các tỉnh, thành phố trực thuộc Trung ương được thực hiện như thế nào?",47_2009_TTLT_BTC_BLĐTBXH_art9_11,47_2009_TTLT_BTC_BLĐTBXH_art7_8;47_2009_TTLT_BTC_BLĐTBXH_art12_13;47_2009_TTLT_BTC_BLĐTBXH_art1_2
Trường hợp nào thì được ứng trước dự toán ngân sách năm sau?,47_2009_TTLT_BTC_BLĐTBXH_art12_13,47_2009_TTLT_BTC_BLĐTBXH_art9_11;47_2009_TTLT_BTC_BLĐTBXH_art7_8;47_2009_TTLT_BTC_BLĐTBXH_art1_2
Báo cáo quyết toán kinh phí cần phải có xác nhận của cơ quan nào?,47_2009_TTLT_BTC_BLĐTBXH_art12_13,47_2009_TTLT_BTC_BLĐTBXH_art14;47_2009_TTLT_BTC_BLĐTBXH_art7_8;47_2009_TTLT_BTC_BLĐTBXH_art1_2
Hồ sơ kiểm soát chi của Kho bạc Nhà nước đối với đối tượng theo Quyết định 290/2005/QĐ-TTg cần mẫu biểu nào?,47_2009_TTLT_BTC_BLĐTBXH_art14,47_2009_TTLT_BTC_BLĐTBXH_art3;47_2009_TTLT_BTC_BLĐTBXH_art5_6;47_2009_TTLT_BTC_BLĐTBXH_art12_13
Các cơ sở nuôi dưỡng người có công có được hỗ trợ kinh phí để chi trả dịch vụ công cộng không?,47_2009_TTLT_BTC_BLĐTBXH_art5_6,47_2009_TTLT_BTC_BLĐTBXH_art4;47_2009_TTLT_BTC_BLĐTBXH_art3;47_2009_TTLT_BTC_BLĐTBXH_art1_2
"Chi phí quản lý có bao gồm chi xăng dầu, thông tin liên lạc phục vụ công tác không?",47_2009_TTLT_BTC_BLĐTBXH_art5_6,47_2009_TTLT_BTC_BLĐTBXH_art4;47_2009_TTLT_BTC_BLĐTBXH_art1_2;47_2009_TTLT_BTC_BLĐTBXH_art14
Bộ Tài chính có vai trò gì trong quy trình lập và phân bổ dự toán?,47_2009_TTLT_BTC_BLĐTBXH_art7_8,47_2009_TTLT_BTC_BLĐTBXH_art14;47_2009_TTLT_BTC_BLĐTBXH_art12_13;47_2009_TTLT_BTC_BLĐTBXH_art9_11
Việc rút dự toán tại Kho bạc Nhà nước được thực hiện bởi những đơn vị nào?,47_2009_TTLT_BTC_BLĐTBXH_art9_11,47_2009_TTLT_BTC_BLĐTBXH_art1_2;47_2009_TTLT_BTC_BLĐTBXH_art7_8;47_2009_TTLT_BTC_BLĐTBXH_art14
